"sim","w","d","cr","t","o","h","pre","pro","inv","n_ticks"
29,20,69.23363,3,26.90283,2,3,37.21595,74.98682,76.21885,201
30,18,80.07485,2,30.99463,1,4,56.24572,70.74364,49.82089,201
31,18,67.68793,3,32.76087,1,4,38.87164,77.1823,52.51249,201
32,22,70.54741,1,27.41342,2,4,54.85662,82.34344,67.09994,201
33,21,66.43597,2,32.29515,2,5,40.00821,76.69067,53.66218,201
34,23,70.31935,3,29.37911,2,5,58.59101,75.66283,57.08483,201
35,17,79.62837,2,33.38368,0,5,42.44719,71.80038,50.22882,201
36,18,76.59552,0,30.91303,2,4,51.37743,76.07427,71.03619,201
37,16,67.0942,0,25.11991,2,5,64.61633,83.97508,66.22438,201
38,17,72.06188,0,29.62145,2,3,48.55887,75.9424,55.14321,201
39,22,72.72273,0,28.73336,0,3,36.46262,79.47256,59.26734,201
40,18,64.22632,1,30.34946,0,5,36.60185,77.23263,45.92579,201
41,25,76.14989,1,30.52932,1,4,58.70177,80.28116,81.27233,201
42,17,62.973,0,29.19721,1,5,61.85562,70.903,54.46905,201
43,17,82.89025,1,29.883,1,4,54.07297,78.13337,57.66898,201
44,19,75.02947,3,31.05273,2,5,36.42066,73.89624,67.18157,201
45,21,62.46445,0,31.45147,2,5,55.05033,66.96018,56.43925,201
46,19,70.11103,0,31.97157,0,4,43.87308,81.60054,54.83431,201
47,18,71.77323,0,31.29417,0,5,46.31593,85.28547,64.67759,201
48,24,66.47475,1,30.35765,2,5,43.52491,74.42638,69.25409,201
49,20,62.39211,0,26.47233,2,4,51.30153,75.94627,66.60194,201
50,19,73.69937,2,30.36656,0,4,53.00976,66.76689,73.50527,201
51,17,77.74089,1,31.21268,2,4,58.89987,78.32571,64.9145,201
52,24,71.54427,2,34.14826,1,4,60.30823,77.81172,70.88584,201
53,22,76.92944,2,27.14653,2,5,52.14733,75.88562,67.28532,201
54,19,66.37333,2,32.56985,1,5,31.87312,74.08904,61.07327,201
55,22,63.7667,2,29.80717,1,4,36.34145,82.56596,48.90363,201
56,19,74.11053,2,28.63975,2,5,61.13673,75.33238,77.45834,201
57,22,68.61138,3,28.8624,1,5,75.82918,77.65949,62.63059,201
58,23,78.35511,2,29.27569,1,4,44.9126,71.34586,72.4598,201
59,21,72.65228,2,33.00683,2,5,58.15275,68.60638,55.90095,201
60,19,70.39404,1,31.65746,1,4,47.8132,72.62253,73.92203,201
61,24,67.2164,2,29.17272,2,3,42.70841,68.259,81.79174,201
62,20,69.77092,1,29.57546,2,5,53.91149,74.81384,59.57131,201
63,20,75.404,1,28.7423,0,4,46.10467,71.9533,86.01129,201
64,19,67.77631,2,30.07851,1,5,48.13026,81.36957,66.00975,201
65,22,65.01849,1,26.20617,2,3,51.32935,74.46707,80.92383,201
66,22,61.89612,2,29.02994,1,3,41.87941,75.53883,59.64249,201
67,20,74.50897,2,27.77525,1,3,47.48528,81.51814,70.67123,201
68,21,70.97001,2,32.46769,2,4,52.57649,73.98257,72.00289,201
69,21,70.73388,1,30.82624,0,5,65.38915,68.53235,73.54816,201
70,20,65.93984,3,30.37736,0,5,70.11533,69.94826,53.53664,201
71,19,68.08236,1,33.25419,1,3,49.7669,82.04844,65.05572,201
72,20,65.70508,3,29.00821,0,4,43.45231,76.38484,99.76312,201
73,18,70.17163,0,30.5003,2,4,53.86357,72.90489,84.99676,201
74,20,68.06602,1,29.52409,1,5,48.75064,76.44108,67.81612,201
75,18,66.80826,0,28.48924,1,4,30.20469,75.8469,52.13769,201
76,18,71.24145,1,32.98742,0,4,53.53837,67.96008,80.83354,201
77,21,69.57707,2,33.45799,1,3,45.23242,77.44167,68.22793,201
78,21,70.00469,0,29.64138,0,4,43.35732,77.43905,65.07958,201
79,20,68.14676,0,31.21862,2,3,57.76042,71.63541,81.44351,201
80,20,76.58695,3,32.11307,1,5,36.027,70.56708,66.29462,201
81,24,60.56554,3,33.11973,1,5,42.66196,73.67595,61.58164,201
82,18,67.99239,0,26.63031,2,3,63.09771,69.52538,71.39139,201
83,20,77.93704,3,28.39878,1,3,61.18091,75.18646,66.4169,201
84,19,77.26148,1,29.58886,0,3,46.30878,79.25538,64.51649,201
85,18,66.02714,1,29.46453,1,5,60.96699,70.79453,77.27629,201
86,16,72.43211,2,31.90763,1,5,52.95599,78.8472,60.38519,201
87,17,73.76164,0,29.71458,0,4,63.57928,84.0024,61.62193,201
88,19,72.38569,3,28.05029,2,4,54.49782,64.10844,70.20822,201
89,21,78.50289,2,31.33133,0,5,35.32313,78.49982,62.48616,201
90,17,74.92295,0,32.31717,2,3,54.23752,87.5089,49.24232,201
91,18,80.97508,3,30.55092,0,5,54.41974,78.24424,72.64011,201
92,21,71.81061,1,29.79873,2,4,39.34395,77.87432,59.37023,201
93,25,64.90748,0,28.48102,2,3,58.8177,84.9075,79.65434,201
94,19,67.84778,2,29.30485,1,3,45.96352,75.80381,78.38584,201
95,18,70.17378,1,31.67321,0,4,63.12501,76.267,63.23601,201
96,17,71.65516,1,27.89649,2,3,43.77502,78.5195,68.09202,201
97,19,62.37567,0,28.07795,1,4,54.81921,72.64079,53.33771,201
98,25,73.04694,3,31.16971,0,5,58.44328,80.35988,60.06308,201
99,22,70.018,2,30.30851,1,5,47.19803,71.77936,58.5603,201
100,19,71.64982,2,30.65963,1,5,50.76122,78.76403,66.24683,201
101,19,73.26528,3,32.54299,1,5,33.47357,75.41111,67.78454,201
102,24,60.47975,3,30.08227,1,3,52.71729,72.72872,67.92102,201
103,19,70.86218,1,29.77012,2,3,40.04253,73.46786,84.48577,201
104,27,70.99008,0,29.04076,1,3,45.65536,78.96489,70.24352,201
105,18,73.84565,0,29.65541,2,5,55.13585,80.11501,91.93666,201
106,19,59.16131,0,27.55854,0,5,52.77887,72.43952,69.22338,201
107,22,72.74396,3,28.48561,0,4,58.81487,73.76667,51.52523,201
108,17,66.54299,1,31.51545,1,4,30.70149,78.56071,56.30244,201
109,22,69.80988,1,30.69345,2,3,42.76035,73.69302,38.86616,201
110,20,72.13224,2,28.57933,2,5,59.72681,66.10277,49.46074,201
111,17,69.85802,0,29.0996,0,5,60.97335,65.38086,75.26372,201
112,22,80.32636,2,31.86431,0,5,56.08909,88.80945,51.90684,201
113,17,69.44848,0,30.75786,2,4,47.71297,75.2711,63.60895,201
114,18,66.87213,0,30.04372,0,5,45.3207,75.33679,78.60897,201
115,23,73.92553,2,30.1754,0,5,49.05232,72.05944,75.66698,201
116,17,66.27359,1,29.22098,1,4,41.34784,76.67983,75.28014,201
117,21,76.54624,3,27.47398,0,4,42.24819,80.65384,76.33139,201
118,20,68.59128,2,29.26497,2,5,44.62935,68.65352,47.93215,201
119,19,67.28976,3,31.47754,2,5,48.84482,73.76675,67.25191,201
120,17,62.69284,0,30.48209,0,4,52.1744,80.68334,73.06095,201
121,17,68.60435,0,31.95049,1,3,49.66952,71.47232,63.83734,201
122,20,62.8594,1,27.74587,1,3,45.32373,72.73832,58.61337,201
123,19,63.26204,2,25.47844,0,5,42.09183,67.53314,74.36696,201
124,23,72.17738,3,28.51388,0,5,59.07847,70.48527,69.97113,201
125,24,65.04494,2,31.81866,1,4,73.69613,80.68893,82.20814,201
126,20,73.34296,0,31.70994,0,3,48.89447,72.84606,61.46035,201
127,16,66.56138,1,32.10166,1,4,54.60344,73.26343,69.505,201
128,20,76.05629,1,31.72441,1,5,53.07095,80.0413,58.79741,201
129,20,70.87147,3,31.72132,0,4,55.18674,72.18441,53.11813,201
130,19,76.50034,1,25.92127,0,4,53.88045,80.46565,76.77166,201
131,15,74.12272,1,30.68965,2,4,58.48145,77.78511,58.88841,201
132,15,78.88032,1,28.34758,1,3,57.8879,72.21221,74.01488,201
133,20,64.44347,1,27.87202,0,4,46.53557,74.9549,65.48995,201
134,19,60.74785,2,29.55136,0,5,55.02752,81.67473,65.26832,201
135,18,66.05545,3,29.55674,0,3,36.21621,77.61498,59.55555,201
136,21,66.15392,0,33.78854,2,3,42.67224,69.19909,62.9746,201
137,19,67.50408,1,26.42051,1,3,73.17134,67.6055,66.59307,201
138,18,74.93795,0,29.96612,0,3,43.97622,66.7477,68.57191,201
139,18,72.49028,1,31.24094,2,3,56.13997,72.40894,66.4126,201
140,20,74.23227,3,29.2376,1,5,45.31775,71.89757,56.84706,201
141,21,81.71583,3,31.15335,1,4,50.09485,77.87412,62.09912,201
142,17,70.94303,2,30.75479,2,5,48.56896,71.34214,58.24349,201
143,16,71.07629,1,32.2068,2,4,64.82361,65.3075,70.89545,201
144,23,76.84976,0,35.86625,2,5,57.61368,76.73877,65.5787,201
145,22,66.44146,1,31.21351,2,4,52.65862,76.54495,79.85158,201
146,17,69.41523,2,32.99487,0,5,40.34505,73.73746,55.01586,201
147,19,71.40206,1,31.06272,0,5,46.66647,79.33023,71.97293,201
148,24,66.54393,0,26.72122,1,5,55.98079,74.84861,54.22095,201
149,19,70.55895,0,29.44782,2,4,64.16679,77.84465,53.56477,201
150,23,72.18629,1,30.1856,2,4,53.47302,72.52109,65.61791,201
151,19,62.11818,3,30.22609,0,3,50.41589,75.1751,98,201
152,22,63.43223,3,31.63472,0,4,65.17876,76.24727,95,201
153,15,72.10188,1,29.36019,2,4,48.85319,79.3068,93,201
154,18,69.51334,0,29.99372,1,5,37.70158,73.51447,97,201
155,23,63.62819,1,30.93554,0,5,45.86552,76.34304,95,201
156,17,77.52408,1,28.76852,0,3,57.34838,79.87019,94,201
157,16,65.77433,2,28.75507,1,5,53.69739,75.55471,96,201
158,19,77.13835,1,28.55888,2,5,51.63586,74.14091,93,201
159,22,79.09268,2,30.28361,1,4,49.65118,80.51167,96,201
160,19,69.49837,2,26.1885,1,4,65.89024,71.43173,90,201
161,20,70.63716,3,31.20804,2,4,40.64694,75.31241,85,201
162,20,73.6786,2,31.33925,2,5,43.56355,69.86258,90,201
163,20,68.69509,0,28.89111,1,5,50.73358,76.23813,97,201
164,21,69.00162,1,30.78598,0,4,53.9094,71.78799,98,201
165,16,61.77336,3,30.77723,0,4,42.82059,73.3085,88,201
166,21,68.69031,1,31.03335,0,4,48.82859,69.0697,94,201
167,23,71.86404,0,31.72422,1,3,39.67636,67.66538,90,201
168,19,66.52139,2,27.67489,2,5,48.90839,76.89457,99,201
169,16,76.31457,3,31.89647,2,4,45.48872,82.54145,99,201
170,16,69.49925,3,34.09243,2,3,40.0511,83.78773,85,201
171,18,64.37882,0,29.83311,1,5,62.03262,78.98435,85,201
172,21,66.8552,0,29.65473,1,3,47.11407,73.50782,97,201
173,16,72.07088,1,30.8585,1,4,61.6057,71.16359,100,201
174,19,64.29514,2,32.5076,0,4,44.57121,78.41207,95,201
175,16,72.82009,3,31.55859,0,5,54.01751,79.56046,96,201
176,20,71.6056,1,33.3364,0,4,41.15696,78.89167,98,201
177,18,72.9015,2,29.57049,2,3,69.47998,77.12189,89,201
178,20,68.06357,2,29.39128,1,3,55.79828,66.95583,99,201
179,19,67.6151,3,29.8097,2,4,49.40394,73.38766,90,201
180,20,63.82922,1,27.851,1,5,42.32276,82.08125,99,201
181,18,80.94718,2,27.89666,0,3,87.03079,78.87951,85,201
182,21,68.67333,2,30.09471,2,5,39.86069,77.31871,99,201
183,19,72.68101,3,31.63949,0,3,49.98562,72.67574,95,201
184,25,81.40979,0,29.60762,2,5,53.84413,70.7679,85,201
185,17,62.07196,3,27.18892,2,4,56.1114,73.83093,92,201
186,25,65.64764,3,31.80369,2,4,52.91522,66.78033,100,201
187,23,66.22278,2,30.24535,0,4,63.10647,69.03818,86,201
188,18,68.82397,3,28.91159,1,5,51.07659,69.65722,94,201
189,19,62.93199,0,31.95692,2,4,54.44885,80.39522,98,201
190,22,57.59961,1,32.15596,1,4,28.49934,82.39509,90,201
191,25,71.91223,0,30.69766,0,5,46.73295,70.0444,97,201
192,20,70.21281,3,30.70553,0,5,58.45556,76.11151,88,201
193,22,63.28632,2,25.74116,2,4,51.39286,81.37476,100,201
194,20,72.18683,3,30.75192,2,3,52.31957,81.12712,96,201
195,22,69.66319,2,30.01352,1,4,38.01786,78.81788,97,201
196,17,60.60452,2,30.76388,2,5,43.54921,73.66853,91,201
197,18,68.14389,3,28.66661,1,5,66.46958,71.77304,100,201
198,20,65.68077,1,31.9799,2,5,45.79632,70.98327,96,201
199,19,65.55966,0,31.4879,2,4,65.33529,70.38303,86,201
200,19,77.03472,0,33.26923,1,4,34.49912,70.99554,98,201
201,20,79.05201,2,31.31142,2,5,44.60378,75.4138,100,201
202,22,64.00132,2,29.37672,1,3,41.8481,84.21078,97,201
203,19,73.35272,3,32.06424,2,4,28.11358,76.6391,85,201
204,18,67.27751,1,30.90582,2,4,64.38381,62.45105,97,201
205,18,63.65412,1,30.10774,0,4,34.8962,75.04542,86,201
206,20,74.68057,3,30.42915,0,4,38.87241,83.87566,85,201
207,28,78.31826,0,29.91317,2,5,65.95932,69.36361,100,201
208,20,68.94495,0,28.4165,2,4,60.11074,71.92395,95,201
209,21,69.24876,0,30.91601,0,4,54.7464,78.62746,95,201
210,23,66.65544,1,30.67086,0,3,52.55327,72.77376,89,201
211,19,73.60896,0,30.16064,0,4,52.11765,79.45456,92,201
212,22,69.7914,2,28.25706,1,3,54.83616,71.12483,100,201
213,19,64.93935,0,30.35535,0,4,45.99752,70.45286,99,201
214,19,70.37544,3,26.68551,1,5,45.20457,78.61558,85,201
215,21,72.98817,2,31.30733,1,5,57.76838,76.73157,93,201
216,19,70.43387,2,27.51596,0,5,45.16679,77.70111,93,201
217,14,67.97254,0,29.63046,0,5,44.474,75.99552,85,201
218,16,66.58476,3,29.60914,1,5,42.72691,76.19463,99,201
219,21,72.03961,2,30.67225,2,3,61.31516,71.74901,95,201
220,16,67.89402,0,30.97601,1,5,49.21869,81.83143,87,201
221,26,79.38436,2,31.5989,2,5,51.99353,68.98777,89,201
222,16,71.8378,0,31.95671,2,4,45.58547,72.44248,85,201
223,11,73.8816,0,31.26378,1,4,54.00289,72.07937,96,201
224,17,69.32535,2,27.05843,0,4,52.5617,75.80692,88,201
225,22,74.95722,1,27.9725,0,5,46.14595,68.67583,86,201
226,19,71.79638,2,30.43062,0,4,38.99519,74.06939,85,201
227,20,68.55863,3,32.80713,1,4,55.82023,83.72993,85,201
228,21,71.08098,0,29.27171,2,4,66.67374,76.03758,88,201
229,17,66.50028,0,29.43358,0,3,59.46347,78.46286,91,201
230,19,73.46273,1,29.90168,1,4,52.42812,71.49573,98,201
231,23,65.47345,0,30.49066,0,4,65.0301,78.29202,93,201
232,18,63.23151,2,28.63856,1,4,40.14953,70.30988,96,201
233,18,74.49686,3,29.85389,2,4,45.1063,78.52088,98,201
234,16,71.92876,1,31.24268,1,4,45.23912,76.41826,99,201
235,20,67.87737,1,30.96807,2,4,31.41263,78.58884,87,201
236,18,72.84727,0,26.04545,1,3,36.21812,75.79913,93,201
237,21,70.84617,3,32.59025,2,5,45.68245,85.59861,88,201
238,20,70.49708,2,28.87933,0,5,33.92249,68.82165,91,201
239,19,76.09703,2,29.59098,1,4,39.94815,79.93215,99,201
240,23,62.59048,3,34.52433,1,4,41.86867,73.07891,98,201
241,19,65.73968,0,28.48283,2,4,58.4965,68.58633,94,201
242,24,73.1858,1,27.04808,0,4,55.20118,75.38005,95,201
243,23,70.89549,3,30.64578,1,4,64.04029,69.50697,97,201
244,23,70.82657,3,30.09788,0,5,71.75484,81.40783,99,201
245,22,69.10987,1,26.79294,2,4,29.26237,65.42726,95,201
246,21,72.92121,2,30.2365,1,5,41.47088,70.74396,91,201
247,17,71.17504,0,29.39519,2,5,40.19062,66.75301,87,201
248,17,61.53524,0,33.18513,2,5,44.15815,78.05708,91,201
249,21,70.3082,3,28.72424,2,5,60.87355,71.31909,92,201
250,22,79.05376,1,29.96671,1,4,54.76486,81.63491,86,201
251,21,78.48153,1,29.32332,2,5,60.30036,73.43093,87,201
252,21,68.31805,0,31.09491,0,3,45.67437,79.35587,100,201
253,16,66.43277,3,27.73016,2,5,45.50321,66.18914,94,201
254,23,66.10377,1,28.91089,0,3,33.69137,75.95843,93,201
255,20,71.25983,3,25.9036,2,5,54.66527,76.23921,96,201
256,19,63.27187,0,30.71634,2,4,57.93518,78.1629,89,201
257,14,76.02689,2,31.24262,1,5,58.20361,83.80664,86,201
258,21,70.79392,3,33.64069,1,5,46.67177,71.6378,97,201
259,19,71.53229,2,27.42412,0,5,43.32413,73.36491,95,201
260,17,63.57337,0,31.61095,1,5,42.25363,68.38567,95,201
261,16,64.57624,1,28.13174,0,3,57.21831,73.67358,92,201
262,20,85.39143,3,29.96289,1,4,51.24202,71.27275,90,201
263,19,71.52041,3,33.05438,0,5,32.29147,75.62626,94,201
264,20,63.47363,0,29.24751,1,5,41.77854,66.11481,100,201
265,15,70.07071,0,31.5772,0,5,48.11107,81.52365,97,201
266,20,72.45312,0,31.14078,2,5,55.34272,73.86895,94,201
267,18,78.43183,2,25.78565,2,4,52.51246,78.12706,87,201
268,20,66.43977,3,31.65155,0,4,57.63573,76.91208,94,201
269,17,78.3883,1,30.73162,1,4,32.63928,79.31948,94,201
270,18,71.02704,3,29.15844,0,5,36.55593,71.71207,86,201
271,21,74.0856,2,32.40383,2,5,46.43426,67.40002,89,201
272,23,68.14085,2,26.65117,0,5,40.70595,77.91409,92,201
273,21,71.70683,2,29.89576,1,4,74.06015,73.92855,97,201
274,19,58.11111,0,32.01592,1,5,66.49706,67.76829,85,201
275,18,67.45231,3,31.39455,0,5,46.22865,66.44643,99,201
276,19,73.44431,0,30.20983,0,5,49.69587,78.29026,85,201
277,16,65.94119,0,28.60497,2,3,55.5167,77.02226,94,201
278,14,71.47884,2,28.9286,1,4,54.45231,70.21657,97,201
279,20,70.3896,3,32.39164,1,5,63.5133,72.63482,90,201
280,23,80.12875,2,31.10518,2,4,51.26483,83.5005,98,201
281,19,78.36347,3,29.72506,2,5,60.95432,82.38266,95,201
282,17,73.80327,3,29.46136,2,5,50.78352,68.75607,99,201
283,22,82.43416,3,29.09478,1,4,60.38397,75.66749,99,201
284,23,73.75134,0,30.26346,2,5,31.22858,79.40587,89,201
285,22,77.32148,0,32.75177,1,5,59.65873,77.36722,94,201
286,21,55.98545,0,29.81234,1,4,49.41009,80.32524,96,201
287,22,67.97853,1,31.49223,1,5,46.61574,77.60369,95,201
288,24,68.25651,3,33.12465,2,4,55.77533,72.76063,86,201
289,20,68.07178,3,31.47452,0,5,56.06137,70.60636,85,201
290,16,72.68872,0,28.56271,1,5,42.53452,74.0492,86,201
291,17,68.43493,1,29.40887,0,3,46.64077,79.77143,95,201
292,16,80.36426,1,29.70941,0,3,28.7749,80.55237,88,201
293,20,75.49306,3,31.4508,2,5,50.16941,81.01442,95,201
294,20,78.00206,1,30.93473,0,5,41.97451,75.37421,87,201
295,19,71.04519,2,29.30607,2,4,68.33769,80.94951,90,201
296,24,67.84031,0,30.94922,2,4,38.891,74.57932,86,201
297,18,70.30208,3,28.49966,1,5,44.28659,69.64206,99,201
298,19,80.00626,3,30.33294,0,4,42.53676,77.03909,99,201
299,19,71.77207,2,27.91047,2,5,58.65276,70.77339,91,201
300,28,75.24421,1,27.91143,1,4,44.29084,70.31823,85,201
